GameID,Home,Away,Division,Score,Date,Time,Actions,Facility,Rink,GT
1151048,The Shockers,Don Cherry's,Monday/Wednesday Low B',1 - 6,Mon Dec 15,10:30PM,Final,Upper Canada College School Arena,,RS
1151037,Muffin Men,The Sahara,Monday/Wednesday Low B',5 - 1,Mon Dec 15,10:00PM,Final,St. Mikes Arena,,RS
1151040,4 Lines,Flat-Earthers,Monday/Wednesday Low B',4 - 4,Mon Dec 15,8:00PM,Final,St. Mikes Arena,,RS
1150350,Muffin Men,The Shockers,Monday/Wednesday Low B',1 - 6,Wed Dec 3,9:00PM,Final,St. Mikes Arena,,RS
1150351,Don Cherry's,Flat-Earthers,Monday/Wednesday Low B',4 - 2,Tue Dec 2,10:30PM,Final,Upper Canada College School Arena,,RS
1150345,The Sahara,4 Lines,Monday/Wednesday Low B',6 - 4,Mon Dec 1,8:00PM,Final,St. Mikes Arena,,RS
1147645,Flat-Earthers,Muffin Men,Monday/Wednesday Low B',1 - 8,Wed Nov 26,10:00PM,Final,St. Mikes Arena,,RS
1147639,The Shockers,The Sahara,Monday/Wednesday Low B',7 - 1,Wed Nov 26,9:00PM,Final,St. Mikes Arena,,RS
1147633,4 Lines,Don Cherry's,Monday/Wednesday Low B',5 - 8,Mon Nov 24,10:00PM,Final,St. Mikes Arena,,RS
1145319,Muffin Men,The Sahara,Monday/Wednesday Low B',5 - 2,Wed Nov 19,8:00PM,Final,St. Mikes Arena,,RS
1145304,Flat-Earthers,4 Lines,Monday/Wednesday Low B',2 - 5,Mon Nov 17,9:00PM,Final,St. Mikes Arena,,RS
1145306,The Shockers,Don Cherry's,Monday/Wednesday Low B',2 - 3,Mon Nov 17,8:00PM,Final,St. Mikes Arena,,RS
1144898,The Sahara,Flat-Earthers,Monday/Wednesday Low B',4 - 7,Wed Nov 12,8:00PM,Final,St. Mikes Arena,,RS
1144895,4 Lines,The Shockers,Monday/Wednesday Low B',4 - 2,Mon Nov 10,10:30PM,Final,Upper Canada College School Arena,,RS
1144894,Muffin Men,Don Cherry's,Monday/Wednesday Low B',2 - 2,Mon Nov 10,10:00PM,Final,St. Mikes Arena,,RS
1141034,The Sahara,Don Cherry's,Monday/Wednesday Low B',5 - 5,Mon Nov 3,10:30PM,Final,Upper Canada College School Arena,,RS
1141032,The Shockers,Flat-Earthers,Monday/Wednesday Low B',3 - 6,Mon Nov 3,9:00PM,Final,St. Mikes Arena,,RS
1141029,4 Lines,Muffin Men,Monday/Wednesday Low B',2 - 0,Mon Nov 3,8:00PM,Final,St. Mikes Arena,,RS
1138909,The Shockers,Don Cherry's,Monday/Wednesday Low B',3 - 6,Wed Oct 29,9:00PM,Final,St. Mikes Arena,,RS
1138903,Flat-Earthers,Muffin Men,Monday/Wednesday Low B',4 - 2,Tue Oct 28,10:30PM,Final,Upper Canada College School Arena,,RS
1138894,4 Lines,The Sahara,Monday/Wednesday Low B',0 - 0,Mon Oct 27,10:30PM,Final,Upper Canada College School Arena,,RS
1137565,Flat-Earthers,Don Cherry's,Monday/Wednesday Low B',2 - 9,Wed Oct 22,8:00PM,Final,St. Mikes Arena,,RS
1137558,Muffin Men,The Shockers,Monday/Wednesday Low B',0 - 1,Mon Oct 20,10:30PM,Forfeit,Upper Canada College School Arena,,RS
1137552,4 Lines,The Sahara,Monday/Wednesday Low B',0 - 0,Mon Oct 20,9:00PM,Final,St. Mikes Arena,,RS
1131390,Muffin Men,Don Cherry's,Monday/Wednesday Low B',2 - 4,Wed Oct 15,9:00PM,Final,St. Mikes Arena,,RS
1131383,The Sahara,Flat-Earthers,Monday/Wednesday Low B',2 - 5,Wed Oct 15,7:00PM,Final,St. Mikes Arena,,RS
1131387,4 Lines,The Shockers,Monday/Wednesday Low B',2 - 3,Tue Oct 14,10:30PM,Final,Upper Canada College School Arena,,RS
1119006,Muffin Men,4 Lines,Monday/Wednesday Low B',3 - 2,Wed Oct 8,7:00PM,Final,St. Mikes Arena,,RS
1119010,Don Cherry's,The Sahara,Monday/Wednesday Low B',1 - 3,Mon Oct 6,9:00PM,Final,St. Mikes Arena,,RS
1119002,Flat-Earthers,The Shockers,Monday/Wednesday Low B',1 - 0,Mon Oct 6,8:00PM,Final,St. Mikes Arena,,RS
1119001,The Sahara,Muffin Men,Monday/Wednesday Low B',2 - 9,Wed Oct 1,7:00PM,Final,St. Mikes Arena,,RS
1118996,Don Cherry's,The Shockers,Monday/Wednesday Low B',2 - 2,Mon Sep 29,10:30PM,Final,Upper Canada College School Arena,,RS
1118992,4 Lines,The Sahara,Monday/Wednesday Low B',7 - 3,Wed Sep 24,9:00PM,Final,St. Mikes Arena,,RS
1118993,Don Cherry's,Flat-Earthers,Monday/Wednesday Low B',4 - 3,Wed Sep 24,8:00PM,Final,St. Mikes Arena,,RS
1118990,The Shockers,Muffin Men,Monday/Wednesday Low B',2 - 4,Mon Sep 22,8:00PM,Final,St. Mikes Arena,,RS
1117167,Muffin Men,Flat-Earthers,Monday/Wednesday Low B',6 - 4,Thu Sep 18,9:00PM,Final,Mattamy Athletic Centre,,RS
1117169,Don Cherry's,4 Lines,Monday/Wednesday Low B',3 - 3,Wed Sep 17,10:00PM,Final,St. Mikes Arena,,RS
1117165,The Sahara,The Shockers,Monday/Wednesday Low B',3 - 2,Mon Sep 15,10:00PM,Final,St. Mikes Arena,,RS
